member_id1,member_id2,number_of_papers,year,,,
2,15,1,2018,,,
3,23,1,2018,,,
6,22,1,2018,,,
7,11,1,2018,,,
8,19,1,2018,,,
8,28,1,2018,,,
13,23,2,2018,,,
18,24,1,2018,,,
19,28,1,2018,,,
21,22,2,2018,,,
2,9,1,2019,,,
6,21,1,2019,,,
6,22,2,2019,,,
7,9,1,2019,,,
8,19,1,2019,,,
8,28,1,2019,,,
19,28,1,2019,,,
21,22,3,2019,,,
25,27,1,2019,,,
2,15,1,2020,,,
21,22,2,2020,,,
1,2,1,2021,,,
1,3,1,2021,,,
1,6,1,2021,,,
1,9,1,2021,,,
1,10,1,2021,,,
1,11,1,2021,,,
1,13,2,2021,,,
1,15,1,2021,,,
1,16,1,2021,,,
1,20,1,2021,,,
1,22,1,2021,,,
1,25,1,2021,,,
2,3,1,2021,,,
2,6,1,2021,,,
2,9,1,2021,,,
2,10,1,2021,,,
2,11,1,2021,,,
2,13,1,2021,,,
2,14,1,2021,,,
2,15,3,2021,,,
2,16,1,2021,,,
2,20,1,2021,,,
2,22,1,2021,,,
2,25,1,2021,,,
3,6,1,2021,,,
3,9,1,2021,,,
3,10,2,2021,,,
3,11,2,2021,,,
3,13,1,2021,,,
3,14,1,2021,,,
3,15,1,2021,,,
3,16,1,2021,,,
3,19,1,2021,,,
3,20,1,2021,,,
3,22,1,2021,,,
3,23,2,2021,,,
3,25,2,2021,,,
5,11,1,2021,,,
6,9,1,2021,,,
6,10,1,2021,,,
6,11,1,2021,,,
6,13,1,2021,,,
6,14,1,2021,,,
6,15,1,2021,,,
6,16,1,2021,,,
6,20,1,2021,,,
6,21,2,2021,,,
6,22,4,2021,,,
6,25,1,2021,,,
9,10,1,2021,,,
9,11,3,2021,,,
9,12,1,2021,,,
9,13,1,2021,,,
9,14,1,2021,,,
9,15,1,2021,,,
9,16,1,2021,,,
9,20,1,2021,,,
9,22,1,2021,,,
9,25,1,2021,,,
10,11,1,2021,,,
10,12,1,2021,,,
10,13,1,2021,,,
10,14,1,2021,,,
10,15,1,2021,,,
10,16,1,2021,,,
10,19,1,2021,,,
10,20,1,2021,,,
10,25,2,2021,,,
11,13,1,2021,,,
11,14,1,2021,,,
11,15,1,2021,,,
11,16,1,2021,,,
11,20,1,2021,,,
11,22,1,2021,,,
11,25,1,2021,,,
3,12,1,2021,,,
10,12,1,2021,,,
12,19,1,2021,,,
12,23,1,2021,,,
12,25,1,2021,,,
13,14,1,2021,,,
13,15,1,2021,,,
13,16,1,2021,,,
13,20,1,2021,,,
13,22,1,2021,,,
13,23,1,2021,,,
13,25,1,2021,,,
14,15,1,2021,,,
14,16,1,2021,,,
14,20,1,2021,,,
14,22,1,2021,,,
14,25,1,2021,,,
15,16,1,2021,,,
15,20,1,2021,,,
15,22,1,2021,,,
15,25,1,2021,,,
16,20,1,2021,,,
16,22,1,2021,,,
16,25,2,2021,,,
16,27,1,2021,,,
18,24,1,2021,,,
19,23,1,2021,,,
19,25,1,2021,,,
20,22,1,2021,,,
20,23,1,2021,,,
20,25,1,2021,,,
21,22,3,2021,,,
22,25,1,2021,,,
23,25,1,2021,,,
